query,recall,d1,dk,spread,orphan_neighbours
502,0.5000,1.3195,1.4061,1.0656,0
503,0.9000,1.2177,1.3024,1.0696,0
504,0.6000,1.2547,1.3553,1.0802,0
505,0.5000,1.2074,1.2516,1.0366,0
506,0.3000,1.1573,1.1825,1.0218,0
507,0.6000,1.0251,1.0914,1.0647,0
508,1.0000,1.8469,1.9941,1.0797,0
509,1.0000,0.6255,0.6990,1.1174,0
510,0.6000,1.1437,1.1791,1.0309,0
511,0.3000,1.4151,1.4557,1.0287,0
512,1.0000,1.5052,1.6244,1.0792,0
513,0.7000,0.7592,0.8184,1.0778,0
514,0.7000,1.2245,1.2928,1.0557,0
515,0.8000,1.1462,1.1816,1.0309,0
516,1.0000,0.2637,0.2930,1.1111,0
517,1.0000,0.3149,0.3420,1.0862,0
518,1.0000,0.9765,1.0657,1.0913,0
519,0.7000,1.4195,1.4681,1.0342,0
520,0.9000,1.1068,1.1403,1.0303,0
521,1.0000,0.3142,0.3655,1.1634,0
522,0.6000,1.3989,1.4496,1.0362,0
523,0.8000,0.9042,0.9212,1.0188,0
524,0.5000,1.4364,1.4969,1.0421,0
525,0.4000,1.0811,1.1269,1.0424,0
526,0.8000,1.1587,1.2249,1.0571,0
527,0.4000,1.2103,1.2914,1.0670,0
528,0.8000,1.2169,1.3006,1.0687,0
529,0.6000,1.2078,1.2557,1.0397,0
530,1.0000,1.1132,1.2146,1.0911,0
531,0.9000,0.7353,0.7498,1.0197,0
532,0.9000,0.4385,0.4657,1.0619,0
533,0.8000,1.0384,1.0740,1.0343,0
534,0.8000,0.9800,1.0089,1.0295,0
535,0.2000,1.1237,1.1954,1.0638,0
536,1.0000,0.5889,0.6467,1.0982,0
537,0.6000,0.9723,1.0241,1.0533,0
538,0.9000,0.8400,0.8637,1.0282,0
539,0.8000,1.1488,1.1860,1.0324,0
540,0.8000,1.1382,1.2082,1.0615,0
541,0.7000,1.3259,1.3610,1.0265,0
542,0.9000,1.0865,1.1611,1.0687,0
543,0.7000,1.1226,1.1940,1.0636,0
544,0.9000,0.8184,0.8470,1.0350,0
545,0.7000,1.2484,1.2913,1.0344,0
546,0.4000,1.2348,1.2813,1.0376,0
547,0.8000,1.0874,1.1296,1.0388,0
548,0.8000,0.9060,0.9460,1.0441,0
549,0.6000,1.1241,1.1429,1.0167,0
550,0.7000,1.1629,1.1935,1.0263,0
551,0.8000,0.7229,0.7943,1.0987,0
552,0.3000,1.4145,1.4510,1.0258,0
553,0.7000,1.0862,1.1215,1.0326,0
554,0.9000,0.9546,0.9773,1.0239,0
555,0.6000,0.9275,0.9704,1.0462,0
556,1.0000,0.6407,0.6707,1.0468,0
557,0.8000,1.1357,1.1780,1.0372,0
558,0.6000,1.0430,1.1220,1.0758,0
559,0.9000,0.7883,0.8267,1.0487,0
560,0.6000,1.0919,1.1191,1.0249,0
561,0.6000,0.9937,1.0213,1.0278,0
562,0.8000,1.0239,1.0517,1.0272,0
563,0.7000,1.5310,1.5577,1.0174,0
564,0.6000,1.0472,1.1233,1.0726,0
565,0.6000,0.9543,1.0117,1.0601,0
566,0.8000,0.8390,0.8848,1.0546,0
567,0.9000,1.1308,1.1899,1.0522,0
568,0.9000,0.5703,0.6013,1.0542,0
569,0.6000,1.0420,1.0979,1.0536,0
570,0.6000,0.8159,0.8503,1.0422,0
571,1.0000,0.5871,0.6242,1.0633,0
572,0.8000,1.1757,1.2853,1.0932,0
573,0.6000,0.4811,0.5015,1.0424,0
574,0.6000,0.8846,0.9415,1.0643,0
575,0.7000,1.0902,1.1322,1.0386,0
576,1.0000,0.8957,0.9625,1.0745,0
577,0.6000,1.2121,1.2435,1.0259,0
