query,recall,d1,dk,spread,orphan_neighbours
437,1.0000,75.6175,194.5071,2.5723,0
438,1.0000,161.2638,236.3007,1.4653,0
439,1.0000,203.0369,254.4229,1.2531,0
440,1.0000,106.4472,214.2008,2.0123,0
441,1.0000,209.9405,277.4941,1.3218,0
442,1.0000,137.0292,160.4057,1.1706,0
443,0.9000,257.1206,272.7050,1.0606,0
444,0.8000,211.5963,224.5752,1.0613,0
445,1.0000,221.5356,244.5056,1.1037,0
446,1.0000,213.6680,233.2123,1.0915,0
447,1.0000,141.7992,210.5896,1.4851,0
448,1.0000,202.5364,242.6046,1.1978,0
449,1.0000,202.2622,239.7374,1.1853,0
450,1.0000,236.5544,263.7802,1.1151,0
451,0.9000,225.0955,255.1607,1.1336,0
452,0.8000,198.8064,229.2051,1.1529,0
453,0.8000,210.3378,240.8672,1.1451,0
454,1.0000,241.4995,263.4616,1.0909,0
455,1.0000,251.0478,276.8610,1.1028,0
456,1.0000,229.6497,246.6840,1.0742,0
457,1.0000,116.6705,183.1448,1.5698,0
458,1.0000,260.2018,284.6507,1.0940,0
459,1.0000,194.5945,230.3476,1.1837,0
460,0.8000,238.6148,253.7085,1.0633,0
461,1.0000,168.5141,181.6287,1.0778,0
462,1.0000,114.7911,127.8006,1.1133,0
463,1.0000,112.8938,137.5827,1.2187,0
464,1.0000,131.0229,150.7116,1.1503,0
465,1.0000,155.8653,179.8055,1.1536,0
466,1.0000,210.1333,232.2283,1.1051,0
467,1.0000,215.2812,241.3110,1.1209,0
468,0.9000,150.6652,166.2889,1.1037,0
469,1.0000,185.7767,206.7825,1.1131,0
470,1.0000,207.8293,233.6771,1.1244,0
471,0.8000,192.9793,220.1022,1.1405,0
472,0.9000,215.5992,235.0362,1.0902,0
473,1.0000,188.4357,222.5960,1.1813,0
474,1.0000,192.0885,221.9347,1.1554,0
475,1.0000,184.3339,226.5899,1.2292,0
476,0.9000,193.1424,203.6075,1.0542,0
477,1.0000,202.6524,216.4001,1.0678,0
478,1.0000,99.8599,130.1307,1.3031,0
479,1.0000,225.9712,249.4253,1.1038,0
480,1.0000,94.7259,114.7127,1.2110,0
481,1.0000,189.7867,234.7509,1.2369,0
482,1.0000,190.9581,219.4949,1.1494,0
483,1.0000,273.4575,290.8935,1.0638,0
484,1.0000,192.2628,206.9420,1.0763,0
485,1.0000,167.3350,188.8889,1.1288,0
486,1.0000,212.0590,249.3070,1.1756,0
487,1.0000,150.0467,170.3350,1.1352,0
488,1.0000,230.0804,242.0868,1.0522,0
489,1.0000,301.0581,313.1868,1.0403,0
490,1.0000,148.6237,168.5408,1.1340,0
491,1.0000,242.6726,290.9777,1.1991,0
492,1.0000,162.6899,192.0026,1.1802,0
493,1.0000,95.7601,122.9024,1.2834,0
494,1.0000,251.3225,275.4142,1.0959,0
